"";"pred";"obs"
"1";301079,399585843;282700
"2";143940,485625625;141700
"3";182565,655156016;154200
"4";305485,237825871;275000
"5";257570,247343779;220600
"6";132148,847442389;117200
"7";323241,540388465;290900
"8";121613,415334076;146000
"9";473823,862145782;500001
"10";430045,457327604;397500
"11";126429,88977021;112500
"12";79862,3474119306;83900
"13";150441,964017451;130100
"14";52628,7205837816;42500
"15";161053,663637996;176000
"16";496636,441316724;500001
"17";284622,239257574;278200
"18";125363,467156976;118800
"19";84204,8112736046;95300
"20";428815,40610218;422000
"21";478222,849101663;298300
"22";208891,627763093;199000
"23";255816,578777671;330800
"24";250626,543132424;271100
"25";131498,372938603;126300
"26";95716,3851496279;105100
"27";177908,501984656;139600
"28";202832,490824282;242200
"29";204669,8635813;221200
"30";277747,365879774;309400
"31";151033,559394717;126500
"32";385269,626952887;343400
"33";267239,288318396;233400
"34";293468,17215836;4e+05
"35";145544,770179808;142300
"36";114283,076102406;107000
"37";77236,8312569261;123200
"38";232044,704192758;193000
"39";324283,889554977;408300
"40";195558,970997632;229000
"41";436326,870738149;361500
"42";436806,720803738;319700
"43";69334,8651058972;98800
"44";298582,58350265;261100
"45";152996,033131242;175000
"46";221094,025003016;206500
"47";82223,1640594006;83600
"48";207267,338615537;193800
"49";256227,843730867;229000
"50";139119,479802191;109200
"51";183276,540930033;186300
"52";69979,8253377378;58400
"53";199216,255855024;184300
"54";95809,5351510644;115800
"55";119021,085990041;94400
"56";410865,590897918;500001
"57";295740,832725644;295000
"58";149396,752922118;3e+05
"59";71415,9643466175;105300
"60";192472,207314372;189100
"61";499999,525673032;500001
"62";326505,78702116;280300
"63";122215,583948374;108300
"64";283255,191257596;283200
"65";121311,633612454;187500
"66";190932,417337954;203100
"67";79846,0575443506;84300
"68";111205,787138045;101600
"69";158789,270865083;147800
"70";138299,826278806;129700
"71";184760,711198866;207900
"72";234069,822371244;371700
"73";311322,271743178;236200
"74";204252,441144884;3e+05
"75";323484,775429845;286500
"76";335805,639177918;347400
"77";89180,2239385843;72800
"78";161915,263209045;156300
"79";424484,816354275;500001
"80";200657,74291271;148100
