"";"pred";"obs"
"1";1;114300
"2";1;157100
"3";1;72100
"4";1;245200
"5";1;67500
"6";1;83700
"7";1;500001
"8";1;151100
"9";1;99100
"10";1;170400
"11";1;236900
"12";1;184200
"13";1;269100
"14";1;105000
"15";1;151900
"16";1;189100
"17";1;164000
"18";1;222000
"19";1;41300
"20";1;327700
"21";1;291000
"22";1;39400
"23";1;299600
"24";1;98700
"25";1;57900
"26";1;500001
"27";1;218600
"28";1;84500
"29";1;181400
"30";1;174400
"31";1;500001
"32";1;282100
"33";1;97200
"34";1;344600
"35";1;111700
"36";1;191100
"37";1;122900
"38";1;206300
"39";1;126300
"40";1;322200
"41";1;190400
"42";1;134800
"43";1;71500
"44";1;242300
"45";1;333900
"46";1;500001
"47";1;500001
"48";1;373400
"49";1;500001
"50";1;225000
"51";1;325000
"52";1;93000
"53";1;160000
"54";1;105400
"55";1;289600
"56";1;249500
"57";1;107900
"58";1;140500
"59";1;73100
"60";1;236500
"61";1;125000
"62";1;277900
"63";1;80600
"64";1;128900
"65";1;224000
"66";1;160300
"67";1;500001
"68";1;94200
"69";1;136400
"70";1;324300
"71";1;425900
"72";1;165500
"73";1;124700
"74";1;325000
"75";1;109400
"76";1;204400
"77";1;74500
"78";1;246200
"79";1;125000
"80";1;142900
"81";1;63500
"82";1;189600
"83";1;151600
"84";1;67900
"85";1;356000
"86";1;256200
"87";1;90600
"88";1;70100
"89";1;84000
"90";1;151100
"91";1;182800
"92";1;397000
"93";1;332500
"94";1;302200
"95";1;161100
"96";1;96800
"97";1;71300
"98";1;174200
"99";1;151000
"100";1;270900
"101";1;93600
"102";1;267900
"103";1;58800
"104";1;250000
"105";1;104700
"106";1;204300
"107";1;97200
"108";1;471400
"109";1;218300
"110";1;282900
"111";1;166800
"112";1;269700
"113";1;93300
"114";1;179400
"115";1;182100
"116";1;124100
"117";1;61500
"118";1;93800
"119";1;166100
"120";1;265600
"121";1;415800
"122";1;185700
"123";1;192900
"124";1;230900
"125";1;485000
"126";1;330000
"127";1;143100
"128";1;118500
"129";1;350700
"130";1;362500
"131";1;234000
"132";1;126800
"133";1;112500
"134";1;266000
"135";1;182100
"136";1;180200
"137";1;67500
"138";1;306700
"139";1;391900
"140";1;236600
"141";1;230600
"142";1;98600
"143";1;454100
"144";1;500001
"145";1;446600
"146";1;137300
"147";1;189300
"148";1;74300
"149";1;57800
"150";1;166700
"151";1;500001
"152";1;158000
"153";1;350000
"154";1;366700
"155";1;441000
"156";1;287500
"157";1;218800
"158";1;166400
"159";1;186600
"160";1;331600
"161";1;75000
"162";1;156600
"163";1;218500
"164";1;54600
"165";1;171400
"166";1;128600
"167";1;88200
"168";1;239600
"169";1;226800
"170";1;245600
"171";1;250700
"172";1;203300
